"Are you self-employed?","How many employees does your company or organization have?","Is your employer primarily a tech company/organization?","Is your primary role within your company related to tech/IT?","Does your employer provide mental health benefits as part of healthcare coverage?","Do you know the options for mental health care available under your employer-provided coverage?","Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?","Does your employer offer resources to learn more about mental health concerns and options for seeking help?","Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?","If a mental health issue prompted you to request a medical leave from work, asking for that leave would be:","Do you think that discussing a mental health disorder with your employer would have negative consequences?","Do you think that discussing a physical health issue with your employer would have negative consequences?","Would you feel comfortable discussing a mental health disorder with your coworkers?","Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?","Do you feel that your employer takes mental health as seriously as physical health?","Have you heard of or observed negative consequences for co-workers who have been open about mental health issues in your workplace?","Do you have medical coverage (private insurance or state-provided) which includes treatment of  mental health issues?","Do you know local or online resources to seek help for a mental health disorder?","If you have been diagnosed or treated for a mental health disorder, do you ever reveal this to clients or business contacts?","If you have revealed a mental health issue to a client or business contact, do you believe this has impacted you negatively?","If you have been diagnosed or treated for a mental health disorder, do you ever reveal this to coworkers or employees?","If you have revealed a mental health issue to a coworker or employee, do you believe this has impacted you negatively?","Do you believe your productivity is ever affected by a mental health issue?","If yes, what percentage of your work time (time performing primary or secondary job functions) is affected by a mental health issue?","Do you have previous employers?","Have your previous employers provided mental health benefits?","Were you aware of the options for mental health care provided by your previous employers?","Did your previous employers ever formally discuss mental health (as part of a wellness campaign or other official communication)?","Did your previous employers provide resources to learn more about mental health issues and how to seek help?","Was your anonymity protected if you chose to take advantage of mental health or substance abuse treatment resources with previous employers?","Do you think that discussing a mental health disorder with previous employers would have negative consequences?","Do you think that discussing a physical health issue with previous employers would have negative consequences?","Would you have been willing to discuss a mental health issue with your previous co-workers?","Would you have been willing to discuss a mental health issue with your direct supervisor(s)?","Did you feel that your previous employers took mental health as seriously as physical health?","Did you hear of or observe negative consequences for co-workers with mental health issues in your previous workplaces?","Would you be willing to bring up a physical health issue with a potential employer in an interview?","Why or why not?","Would you bring up a mental health issue with a potential employer in an interview?","Why or why not?","Do you feel that being identified as a person with a mental health issue would hurt your career?","Do you think that team members/co-workers would view you more negatively if they knew you suffered from a mental health issue?","How willing would you be to share with friends and family that you have a mental illness?","Have you observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?","Have your observations of how another individual who discussed a mental health disorder made you less likely to reveal a mental health issue yourself in your current workplace?","Do you have a family history of mental illness?","Have you had a mental health disorder in the past?","Do you currently have a mental health disorder?","If yes, what condition(s) have you been diagnosed with?","If maybe, what condition(s) do you believe you have?","Have you been diagnosed with a mental health condition by a medical professional?","If so, what condition(s) were you diagnosed with?","Have you ever sought treatment for a mental health issue from a mental health professional?","If you have a mental health issue, do you feel that it interferes with your work when being treated effectively?","If you have a mental health issue, do you feel that it interferes with your work when NOT being treated effectively?","What is your age?","What is your gender?","What country do you live in?","What US state or territory do you live in?","What country do you work in?","What US state or territory do you work in?","Which of the following best describes your work position?","Do you work remotely?"
0,100-500,1,,Yes,Yes,No,No,"I don't know","I don't know",Yes,No,Maybe,Maybe,No,No,,,,,,,,,1,"Yes, they all did","Yes, I was aware of all of them","None did","Some did",Sometimes,"Yes, all of them","Yes, all of them","Some of my previous employers","No, at none of my previous employers","None did","Some of them",Maybe,"Depends on the ability to do the job. If it has no bearing, then I wouldn't discuss it. If I needed accommodations to do the job, I may.",No,"Stigma. Fear of not getting the job. ",Maybe,"Yes, they do","Somewhat open","Yes, I observed",Yes,Yes,Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Post-traumatic Stress Disorder",,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Post-traumatic Stress Disorder|Dissociative Disorder",1,Sometimes,Often,41,non-binary,"United States of America",Wisconsin,"United States of America",Wisconsin,"Front-end Developer|Designer",Always
0,26-100,1,,Yes,Yes,No,No,"I don't know","Neither easy nor difficult",No,No,No,No,"I don't know",No,,,,,,,,,1,"Some did","I was aware of some","Some did","Some did",Sometimes,"Some of them","None of them","No, at none of my previous employers","No, at none of my previous employers","I don't know","None of them",Maybe,"I've never had a physical health issue before, so I don't know if I would.",No,"Seems like TMI, and I don't want any doubts about my effectiveness as an employee.",Maybe,Maybe,"Somewhat not open",No,,Yes,Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",1,Rarely,Often,30,woman,"United States of America",California,"United States of America",California,"Front-end Developer",Sometimes
0,26-100,1,,Yes,"I am not sure",No,No,"I don't know","Somewhat difficult",Maybe,No,No,Maybe,"I don't know",No,,,,,,,,,0,,,,,,,,,,,,Yes,,Maybe,,Maybe,"Yes, I think they would","Somewhat open","Maybe/Not sure",No,Yes,Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)",,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)",1,Rarely,Sometimes,28,male,"United States of America",Maryland,"United States of America",Maryland,"Supervisor/Team Lead",Sometimes
0,"More than 1000",1,,"I don't know","I am not sure",No,"I don't know","I don't know","I don't know",Maybe,No,Maybe,No,No,No,,,,,,,,,0,,,,,,,,,,,,Maybe,"It depends on what the issue was, if it was chronic or acute, etc. (if acute, probably wouldn't even mention it. Then again, if chronic, might be concerned that it would bias against them hiring me.)",No,"I'd be worried it would bias them against hiring me.","Yes, I think it would","Yes, I think they would","Not applicable to me (I do not have a mental illness)","Maybe/Not sure",N/A,No,No,No,,,No,,0,"Not applicable to me","Not applicable to me",28,Male,"United States of America",Oregon,"United States of America",Oregon,"Back-end Developer",Sometimes
1,,,,,,,,,,,,,,,,1,"Yes, I know several","No, because it would impact me negatively",N/A,"Sometimes, if it comes up",No,Unsure,,1,"Some did","I was aware of some","None did","None did","I don't know","Some of them","None of them","Some of my previous employers","Some of my previous employers","I don't know","None of them",Maybe,,Maybe,,Maybe,Maybe,"Somewhat open",No,,Yes,Yes,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)|Anxiety Disorder (Generalized, Social, Phobia, etc)",,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)|Anxiety Disorder (Generalized, Social, Phobia, etc)",1,Rarely,Often,39,Male,Switzerland,,Switzerland,,"One-person shop",Sometimes
0,6-25,1,,"Not eligible for coverage / N/A",N/A,No,No,"I don't know","Very difficult",Maybe,No,No,No,"I don't know",No,,,,,,,,,1,"No, none did","N/A (not currently aware)","None did","None did","I don't know","Some of them","Some of them","Some of my previous employers","No, at none of my previous employers","None did","Yes, all of them",Maybe,"I would have to read the room, it would  depend on how much i feel an employer expects of me.",No,stigma,Maybe,"No, I don't think they would","Not open at all","Yes, I observed",Yes,Yes,Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",,No,,1,"Not applicable to me",Sometimes,22,male,"United Kingdom",,"United Kingdom",,"Back-end Developer",Sometimes
0,26-100,1,,Yes,No,No,"I don't know","I don't know","Very easy",No,No,Maybe,Yes,Yes,No,,,,,,,,,1,"Some did","I was aware of some","None did","None did","I don't know","I don't know","None of them","Yes, at all of my previous employers","Yes, at all of my previous employers","I don't know","None of them",Maybe,"Depends on how acute the issue was",Maybe,"Depends on the acuteness of the problem ",Maybe,"No, I don't think they would","Somewhat open","Maybe/Not sure",No,"I don't know",No,No,,,No,,0,"Not applicable to me","Not applicable to me",31,M,"United States of America",Massachusetts,"United States of America",Massachusetts,"Supervisor/Team Lead",Sometimes
0,26-100,1,,No,N/A,No,No,No,"Somewhat difficult",Maybe,Maybe,No,No,No,No,,,,,,,,,1,"No, none did","N/A (not currently aware)","None did","None did","I don't know","Some of them","Some of them","Some of my previous employers","Some of my previous employers","I don't know","None of them",Yes,"Full disclosure",No,"Prejudice ",Maybe,Maybe,"Not applicable to me (I do not have a mental illness)",N/A,,"I don't know",No,No,,,No,,0,"Not applicable to me","Not applicable to me",29,Male,"United Kingdom",,"United Kingdom",,"Back-end Developer",Never
0,100-500,1,,No,No,No,No,"I don't know","Somewhat easy",Maybe,Maybe,No,No,No,No,,,,,,,,,1,"Yes, they all did","I was aware of some","I don't know","Yes, they all did","I don't know","Some of them","Some of them","No, at none of my previous employers","No, at none of my previous employers","None did","None of them",No,"It's non of their business. ",No,,"Yes, I think it would","Yes, I think they would","Not applicable to me (I do not have a mental illness)","Maybe/Not sure",Maybe,No,Maybe,Maybe,,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Attention Deficit Hyperactivity Disorder",No,,0,"Not applicable to me",Sometimes,33,male,Israel,,Israel,,"Supervisor/Team Lead|Back-end Developer",Never
0,100-500,1,,"I don't know",No,No,No,"I don't know","Very easy",Maybe,No,Maybe,Maybe,"I don't know",No,,,,,,,,,1,"Some did","N/A (not currently aware)","None did","None did","I don't know","Some of them","Some of them","Some of my previous employers","Some of my previous employers","I don't know","Some of them",No,"Unsure of how they woud react.",No,"Unsure of how they woud react.","Yes, I think it would","Yes, I think they would","Very open","Yes, I experienced",No,No,No,No,,,No,,1,Sometimes,Rarely,37,male,Germany,,Germany,,"Back-end Developer|Dev Evangelist/Advocate|Supervisor/Team Lead",Sometimes
0,100-500,1,,"I don't know","I am not sure",No,"I don't know","I don't know","I don't know",No,No,Maybe,Maybe,Yes,No,,,,,,,,,1,"I don't know","N/A (not currently aware)","None did","None did","I don't know","I don't know","None of them","No, at none of my previous employers","I don't know","None did","None of them",Yes,,Maybe,,Maybe,Maybe,"Somewhat open",No,,No,No,Maybe,,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Attention Deficit Hyperactivity Disorder|Asperger's",No,,0,"Not applicable to me","Not applicable to me",42,Male,"United States of America",Texas,"United States of America",Texas,"Back-end Developer",Always
0,6-25,1,,"I don't know",No,No,No,Yes,"Somewhat easy",Yes,Yes,Yes,Yes,No,No,,,,,,,,,1,"No, none did","No, I only became aware later","None did","None did","I don't know","I don't know","None of them","Some of my previous employers","Some of my previous employers","I don't know","None of them",No,"I feel that an interview is not enough time for an employer to make a rational judgement about whether or not the candidate can still do the job they're asking. I would not disclose my mental health condition to employers during an interview but perhaps prior to accepting an offering.",No,"Same as above,","Yes, I think it would",Maybe,"Somewhat open","Yes, I experienced",No,Yes,Yes,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",1,Often,Often,31,male,"United Kingdom",,"United Kingdom",,Other,Never
1,,,,,,,,,,,,,,,,1,"Yes, I know several","No, because it would impact me negatively",Yes,"Sometimes, if it comes up",No,Yes,1-25%,1,"Some did","I was aware of some","None did","None did","I don't know","Some of them","None of them","Some of my previous employers","Some of my previous employers","None did","None of them",Yes,"Especially if it would affect physical access to the location or equipment, it seems like it would be absolutely necessary.",Maybe,"It depends on which aspect of mental health we're talking about :) Some are more stigmatized than others.","Yes, it has",Maybe,"Very open",N/A,,Yes,Maybe,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)|Addictive Disorder|Intimate Disorder",,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)|Intimate Disorder",1,Rarely,Sometimes,34,male,"United States of America",Oregon,"United States of America",Oregon,"Other|One-person shop|Designer|Front-end Developer",Always
1,,,,,,,,,,,,,,,,1,"I know some","Sometimes, if it comes up",Yes,"Sometimes, if it comes up",Yes,Yes,76-100%,1,"No, none did","N/A (not currently aware)","None did","None did","I don't know","Some of them","None of them","Some of my previous employers","No, at none of my previous employers","None did","Some of them",Maybe,"Depends on whether I thought it would have a negative impact on me getting the job",Maybe,"Only if the job was for an organization or business run by or for people with similar issues.","Yes, it has","Yes, I think they would","Somewhat not open","Yes, I observed",Yes,"I don't know",Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Dissociative Disorder|Autism",,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Dissociative Disorder",1,Sometimes,Often,49,F,"United States of America",Maryland,"United States of America",Maryland,"Support|Back-end Developer|Front-end Developer|One-person shop",Always
0,26-100,1,,Yes,Yes,Yes,Yes,"I don't know","I don't know",Maybe,Maybe,Maybe,Maybe,Yes,No,,,,,,,,,1,"No, none did","N/A (not currently aware)","None did","None did","I don't know","Some of them","Some of them","No, at none of my previous employers","No, at none of my previous employers","None did","Some of them",Maybe,,Maybe,,"Yes, I think it would","Yes, I think they would","Somewhat not open","Maybe/Not sure",N/A,Yes,Maybe,Maybe,,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Attention Deficit Hyperactivity Disorder|Stress Response Syndromes",No,,0,"Not applicable to me",Sometimes,29,male,Canada,,Canada,,"Back-end Developer|Front-end Developer",Never
0,"More than 1000",1,,Yes,Yes,No,No,"I don't know","Very easy",No,No,Maybe,Maybe,"I don't know",No,,,,,,,,,1,"Some did","I was aware of some","None did","None did","I don't know","I don't know","None of them","No, at none of my previous employers","No, at none of my previous employers","I don't know","None of them",Maybe,"i don't know",Maybe,"it depends. my current job, i made an offhand reference to my therapist in the cover letter. but i also believed myself woefully underqualified at the time so I can't vouch for having taken the application completely seriously.","No, I don't think it would","No, I don't think they would","Somewhat open",No,,No,Yes,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)|Attention Deficit Hyperactivity Disorder",,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)|Attention Deficit Hyperactivity Disorder",1,Sometimes,Often,40,cisdude,"United States of America",Iowa,"United States of America",Iowa,"Back-end Developer",Sometimes
0,26-100,1,,"I don't know",No,No,"I don't know",Yes,"Somewhat easy",Maybe,Maybe,Maybe,Yes,Yes,No,,,,,,,,,1,"I don't know","N/A (not currently aware)","None did","None did","I don't know","Some of them","Some of them","Some of my previous employers","Some of my previous employers","Some did","Some of them",Maybe,"Depends in the interview, would it be relevant at that point, am I seriously interested in the job or not",Maybe,"Same answer as physical",Maybe,"No, they do not","Very open",No,,Yes,Yes,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)|Eating Disorder (Anorexia, Bulimia, etc)",,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)|Eating Disorder (Anorexia, Bulimia, etc)",1,Sometimes,Sometimes,46,Female,Netherlands,,Netherlands,,"Executive Leadership",Sometimes
1,,,,,,,,,,,,,,,,1,"I know some","Sometimes, if it comes up","I'm not sure","Not applicable to me","Not applicable to me",Yes,1-25%,1,"Some did","I was aware of some","Some did","Some did","Yes, always","Some of them","None of them","Some of my previous employers","Some of my previous employers","None did","Some of them",Maybe,"It depends on the issue—if it affected my job, I would hope to feel comfortable bringing it up.",Maybe,"Same answer. But it would feel more raw and vulnerable. Having been self-employed now, I'd be a lot more selective about where I choose to interview, and opt myself out of places that wouldn't be empathetic and understanding.",Maybe,Maybe,"Somewhat open","Yes, I experienced",N/A,Yes,Maybe,No,,,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)",1,Rarely,Often,31,female,"United States of America",Minnesota,"United States of America",Minnesota,"One-person shop|Designer|Sales|Support|Supervisor/Team Lead",Always
0,100-500,0,1,Yes,No,Yes,"I don't know",Yes,"Very easy",No,No,Maybe,Yes,Yes,No,,,,,,,,,1,"I don't know","No, I only became aware later","None did","None did","Yes, always","Some of them","None of them","No, at none of my previous employers","No, at none of my previous employers","I don't know","None of them",Yes,"If the health issue was severe enough to affect my work, waiting to reveal it until after job start could easily result in resentment. All cards on the table.",Maybe,"Bit more taboo about mental health issues. At my last interview I did mention that I only worked well with interesting tasks (let's call it a light case of ADHD), but I did not problematize it.",Maybe,"No, I don't think they would","Somewhat open",No,,No,Maybe,Maybe,,"Attention Deficit Hyperactivity Disorder|Obsessive-Compulsive Disorder",No,,0,Sometimes,Sometimes,43,Male,Denmark,,Denmark,,"Back-end Developer",Sometimes
1,,,,,,,,,,,,,,,,1,"No, I don't know any","Not applicable to me","I'm not sure","Not applicable to me","Not applicable to me",Yes,26-50%,0,,,,,,,,,,,,No,,No,,"Yes, I think it would",Maybe,"Somewhat open",N/A,,Yes,No,No,,,No,,0,"Not applicable to me","Not applicable to me",45,male,Germany,,Germany,,"Back-end Developer|Front-end Developer|One-person shop",Sometimes
0,6-25,1,,No,No,No,No,"I don't know","I don't know",Yes,No,No,No,"I don't know",Yes,,,,,,,,,1,"No, none did","N/A (not currently aware)","None did","None did",No,"Yes, all of them","Some of them","No, at none of my previous employers","No, at none of my previous employers","None did","Some of them",No,"Your not get the job",No,"Your not get the Job","Yes, it has","Yes, they do","Not applicable to me (I do not have a mental illness)","Yes, I observed",Yes,No,Maybe,Maybe,,"depersonalization disorder",No,,0,Rarely,Rarely,32,M,"United Kingdom",,"United Kingdom",,"DevOps/SysAdmin|Support|Back-end Developer|One-person shop|Front-end Developer",Sometimes
1,,,,,,,,,,,,,,,,1,"I know some","Sometimes, if it comes up","I'm not sure","Sometimes, if it comes up",No,Yes,1-25%,1,"I don't know","N/A (not currently aware)","None did","None did","I don't know","I don't know","Some of them","Some of my previous employers","Some of my previous employers","None did","Some of them",No,"I feel I need to be able to physically do the job demands to be considered.",No,"I feel I need to be able to physically and mentally do the job demands to be considered.",Maybe,"Yes, I think they would","Somewhat open","Maybe/Not sure",Yes,Yes,Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)",,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)",1,Never,Sometimes,38,male,"United States of America",Wisconsin,"United States of America",Wisconsin,"Back-end Developer",Sometimes
